Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25172,Quarteto de Sombras - Cor Fashion,11.28,11.28,"R$ 60,00","R$ 19,90",201.51 %,,0,0,
25173,PERFECT NAILS PERLA,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25174,Perfect Nails Rosa Blush,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25175,PERFECT NAILS PLUM,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25176,Perfect Nails Reveillon,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25177,Perfect Nails Heartbeat,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25178,Perfect Nails Royal Safira,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25179,Perfect Nails Chic Gris,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25180,Perfect Nails Base,3.49,3.49,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25181,Perfect Nails Extra Brilho,3.50,3.50,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25182,Perfect Nails Vintage Gold,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25183,Perfect Nails Copas,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25184,Perfect Nails Peony Rose,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25185,Perfect Nails Blush,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25186,PINCEL PARA SOBRANCELHA 2 EM 1 DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25187,PINCEL PARA ESFUMAR DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25188,PINCEL MULTIUSO DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25189,PINCEL PARA DELINEAR DAZZLE,.00,.00,"R$ 34,90","R$ 17,45",100.00 %,1,"R$ 34,90","R$ 17,45",
25190,ESPONJA GOTA DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25191,Gloss Labial Colour Shine - Rainbow,5.50,5.50,"R$ 36,00","R$ 9,90",263.64 %,,0,0,
25192,ESTOJO PARA PINCÉIS DAZZLE,.00,.00,"R$ 49,90","R$ 24,95",100.00 %,1,"R$ 49,90","R$ 24,95",
25193,APONTADOR DUPLO DAZZLE,4.00,4.00,"R$ 18,00","R$ 9,00",100.00 %,,0,0,
